"","ID","Name_water","Water_km","Pan_km"
"1","10-016","OKAUKUEJO",3.32874710226402,1.82237790700278
"2","10-022","OKAUKUEJO",2.88127405559075,3.23874440082693
"3","10-049","OKAUKUEJO",7.9925303840088,3.62537307256406
"4","10-062","OKAUKUEJO",9.29843040700433,1.67429086727809
"5","10-115","OKONDEKA",14.7783310621249,12.7699740677105
"6","10-184","NEBROWNII",7.77329215017027,8.89231973180098
"7","10-195","OKAUKUEJO",1.78047714443995,4.12380989099896
"8","10-237","GEMSBOKVLAKTE",4.21478260402315,4.00549612632635
"9","11-011","OKONDEKA",15.8309892281732,15.7716004759023
"10","11-039","OKAUKUEJO",3.56075293843129,2.33350846907871
"11","11-052","OKAUKUEJO",4.71725591417517,0.478019021381575
"12","12-010","OKONDEKA",3.00613336505176,3.08512334801697
"13","12-039","OKONDEKA",15.3887111014302,14.9635298504038
